"sep=	"
Shimmer__TimestampSync_Unix_CAL	Shimmer__Accel_LN_X_CAL	Shimmer__Accel_LN_Y_CAL	Shimmer__Accel_LN_Z_CAL	Shimmer__GSR_Range_CAL	Shimmer__GSR_Skin_Conductance_CAL	Shimmer__GSR_Skin_Resistance_CAL	Shimmer__Gyro_X_CAL	Shimmer__Gyro_Y_CAL	Shimmer__Gyro_Z_CAL	Shimmer__Mag_X_CAL	Shimmer__Mag_Y_CAL	Shimmer__Mag_Z_CAL	Shimmer__PPG_A13_CAL	Shimmer__PPG_IBI_CAL	Shimmer__PPGtoHR_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	no_units	uS	kOhms	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	mV	ms	BPM	
1.6981535739030105E12	4.33695652173913	1.6195652173913042	10.934782608695652	3.0	0.3438783438783439	2908.005164622337	-0.1205868320610687	0.9134064885496183	0.45753816793893126	0.17691154422788605	-0.24887556221889054	-0.5952023988005997	1400.7326007326005	-1.0	-1.0	
1.6981535739108225E12	4.326086956521739	1.6195652173913042	10.945652173913043	3.0	0.3434343434343434	2911.764705882353	0.0802719465648855	0.8927719465648855	-0.016459923664122137	0.14842578710644677	-0.2593703148425787	-0.6026986506746627	1397.8021978021977	-1.0	-1.0	
1.6981535739186345E12	4.33695652173913	1.6195652173913042	10.934782608695652	3.0	0.3434343434343434	2911.764705882353	-0.11784351145038167	0.7789837786259541	0.428912213740458	0.17691154422788605	-0.2338830584707646	-0.5997001499250375	1394.8717948717947	-1.0	-1.0	
1.6981535739264465E12	4.33695652173913	1.6304347826086956	10.91304347826087	3.0	0.3438783438783439	2908.005164622337	0.23580629770992365	0.40589217557251905	0.7324666030534351	0.17691154422788605	-0.2338830584707646	-0.5997001499250375	1390.4761904761904	-1.0	-1.0	
1.6981535739342585E12	4.315217391304348	1.6195652173913042	10.902173913043478	3.0	0.3438783438783439	2908.005164622337	-0.06929866412213741	0.4029103053435114	0.3475667938931298	0.1649175412293853	-0.24587706146926536	-0.6041979010494752	1387.5457875457876	-1.0	-1.0	
1.6981535739420706E12	4.315217391304348	1.6304347826086956	10.902173913043478	3.0	0.3434343434343434	2911.764705882353	-0.02075381679389313	-0.061068702290076333	0.33158396946564883	0.17991004497751123	-0.2383808095952024	-0.6101949025487257	1383.150183150183	-1.0	-1.0	
1.6981535739498828E12	4.326086956521739	1.6195652173913042	10.92391304347826	3.0	0.34432234432234426	2904.2553191489365	-0.23282442748091603	-0.033635496183206104	0.2701574427480916	0.17691154422788605	-0.24137931034482757	-0.6026986506746627	1378.7545787545787	-1.0	-1.0	
1.6981535739576948E12	4.326086956521739	1.6304347826086956	10.945652173913043	3.0	0.34432234432234426	2904.2553191489365	-0.013955152671755724	-0.14193702290076335	0.4198473282442748	0.17691154422788605	-0.24137931034482757	-0.6026986506746627	1377.2893772893772	-1.0	-1.0	
1.6981535739655068E12	4.33695652173913	1.641304347826087	10.967391304347826	3.0	0.3438783438783439	2908.005164622337	-0.0580868320610687	-0.24689885496183206	0.11247614503816794	0.17091454272863568	-0.2368815592203898	-0.608695652173913	1378.021978021978	-1.0	-1.0	
1.6981535739733188E12	4.358695652173913	1.6521739130434783	10.934782608695652	3.0	0.3438783438783439	2908.005164622337	-0.20956583969465647	-0.19775763358778625	0.14181774809160305	0.18440779610194902	-0.24137931034482757	-0.6071964017991004	1377.2893772893772	-1.0	-1.0	
1.6981535739811309E12	4.369565217391305	1.6304347826086956	10.956521739130434	3.0	0.3438783438783439	2908.005164622337	-0.4819895038167939	-0.16197519083969464	-0.08945610687022901	0.18140929535232383	-0.2383808095952024	-0.616191904047976	1377.2893772893772	-1.0	-1.0	
